car_id,license_plate,brand,model,year,color,fuel_type,daily_rate,last_maintenance_date,next_maintenance_km,car_type,ac_type,transmission,seating_capacity
1,B-1234-ABC,Toyota,Avanza,2022,Silver,Pertalite,250000,2025-07-26,55000,MPV,AUTO,MANUAL,7
2,B-5678-DEF,Honda,Brio,2023,Red,Pertamax,300000,2025-10-21,35000,HATCHBACK,AUTO,MANUAL,5
3,B-9012-GHI,Mitsubishi,Xpander,2022,White,Pertalite,400000,2025-07-12,50000,SUV,AUTO,AUTOMATIC,7
4,B-3456-JKL,Toyota,Rush,2023,Black,Pertamax,350000,2025-09-28,55000,SUV,AUTO,AUTOMATIC,5
5,B-7890-MNO,Honda,HR-V,2024,Gray,Pertamax,450000,2025-10-21,25000,SUV,AUTO,AUTOMATIC,5
6,B-2468-PQR,Daihatsu,Terios,2021,Blue,Pertalite,200000,2025-10-22,65000,SUV,MANUAL,MANUAL,5
7,B-1357-STU,Toyota,Innova,2022,Silver,Pertamax,500000,2025-10-21,45000,MPV,AUTO,AUTOMATIC,8
8,B-8642-VWX,Nissan,Livina,2023,Green,Pertalite,280000,2025-09-14,40000,MPV,AUTO,MANUAL,7
9,B-9753-YZA,Toyota,Calya,2021,White,Pertalite,180000,2025-09-04,75000,MPV,MANUAL,MANUAL,7
10,B-6428-BCD,Honda,Mobilio,2022,Silver,Pertalite,220000,2025-10-20,53000,MPV,AUTO,MANUAL,7
11,B-1597-CDE,Mitsubishi,Pajero,2020,Black,Pertamax,600000,2025-08-06,95000,SUV,AUTO,AUTOMATIC,7
12,B-7531-DEF,Toyota,Fortuner,2023,Gray,Pertamax,550000,2025-10-13,40000,SUV,AUTO,AUTOMATIC,7
13,B-4268-EFG,Daihatsu,Xenia,2022,Red,Pertalite,230000,2025-10-28,62000,MPV,AUTO,MANUAL,7
14,B-2846-FGH,Suzuki,Ertiga,2023,Blue,Pertalite,260000,2025-10-08,35000,MPV,AUTO,MANUAL,7
15,B-7395-GHI,Nissan,Kicks,2024,Orange,Pertamax,480000,2025-10-16,20000,SUV,AUTO,AUTOMATIC,5
