vehicle_id,timestamp,latitude,longitude,speed,battery_level,odometer,engine_hours,fuel_level,location_address,trip_status,rental_id
8,2025-09-01 7:53:00,-6.246662,106.796992,0,82.8,32033,1902.9,75,Kebayoran Baru JAKARTA,PARKED,1238
8,2025-09-01 8:21:00,-6.247026,106.796275,0,82.7,32033,1903.1,74,Kebayoran Baru JAKARTA,PARKED,1238
1,2025-09-01 8:33:00,-6.208743,106.848779,0,91.9,45000,3200.1,98,JL Sudirman JAKARTA,PARKED,1241
11,2025-09-01 9:00:00,-6.223341,106.828187,43,89.4,89032,4501.4,84,Kuningan City JAKARTA,MOVING,1239
1,2025-09-01 9:03:00,-6.188691,106.81992,0,91.8,45000,3200.4,97,Setiabudi JAKARTA,PARKED,1241
3,2025-09-01 9:06:00,-6.231867,106.794467,0,90.6,42021,2803.9,71,Plaza Senayan JAKARTA,PARKED,1236
5,2025-09-01 10:18:00,-7.261313,112.755845,79,93.1,16026,1003.4,74,JL Tunjungan SURABAYA,MOVING,1237
1,2025-09-01 11:19:00,-6.194177,106.822949,0,91.6,45000,3200.6,96,Plaza Indonesia JAKARTA,PARKED,1241
14,2025-09-01 12:09:00,-6.211664,106.841327,0,88.2,29013,1601,89,JL Sudirman JAKARTA,PARKED,1240
5,2025-09-01 12:25:00,-7.246111,112.7548,0,92.9,16026,1003.7,73,Pasar Atom SURABAYA,PARKED,1237
3,2025-09-01 12:43:00,-6.196768,106.818251,0,90.5,42021,2804,69,Grand Indonesia JAKARTA,PARKED,1236
14,2025-09-01 13:41:00,-6.206958,106.841555,0,88,29013,1601.1,88,JL Sudirman JAKARTA,PARKED,1240
5,2025-09-01 14:24:00,-6.221813,106.813696,75,92.7,16033,1003.9,69,Pacific Place JAKARTA,MOVING,1237
1,2025-09-01 14:55:00,-6.211535,106.841737,0,91.4,45000,3200.8,95,JL Sudirman JAKARTA,PARKED,1241
8,2025-09-01 16:57:00,-6.208029,106.849507,0,82.5,32033,1903.3,73,JL Sudirman JAKARTA,PARKED,1238
3,2025-09-01 17:18:00,-6.227623,106.805932,0,90.3,42021,2804.2,68,Pacific Place JAKARTA,PARKED,1236
