vehicle_id,timestamp,latitude,longitude,speed,battery_level,odometer,engine_hours,fuel_level,location_address,trip_status,rental_id
4,2025-08-01 7:04:00,-6.199359,106.823826,0,91.6,51000,2950.5,94,Grand Indonesia JAKARTA,PARKED,1209
2,2025-08-01 7:20:00,-6.88161,107.582313,0,87.2,25060,1852.2,82,Paris Van Java BANDUNG,PARKED,1208
11,2025-08-01 7:41:00,-6.243176,106.795133,0,92.6,89034,4503.3,75,Kebayoran Baru JAKARTA,PARKED,1205
8,2025-08-01 7:50:00,-6.200579,106.819058,57,96.7,32012,1900.5,98,Grand Indonesia JAKARTA,MOVING,1210
11,2025-08-01 8:43:00,-6.223868,106.813702,0,92.4,89034,4503.5,73,Pacific Place JAKARTA,PARKED,1205
14,2025-08-01 9:25:00,-7.28623,112.736053,0,91.1,29052,1602.9,73,BG Junction SURABAYA,PARKED,1206
8,2025-08-01 9:48:00,-6.225282,106.799082,0,96.6,32012,1900.8,96,Plaza Senayan JAKARTA,PARKED,1210
2,2025-08-01 12:23:00,-6.89938,107.591485,72,86.8,25073,1852.6,78,JL Pasteur BANDUNG,MOVING,1208
14,2025-08-01 14:47:00,-7.25683,112.747613,0,90.9,29052,1603.1,72,JL Tunjungan SURABAYA,PARKED,1206
4,2025-08-01 16:07:00,-6.19392,106.819707,79,91.3,51013,2950.7,91,Setiabudi JAKARTA,MOVING,1209
2,2025-08-01 16:54:00,-6.901944,107.595678,0,86.6,25073,1852.9,76,JL Pasteur BANDUNG,PARKED,1208
4,2025-08-01 17:02:00,-7.291902,112.730214,53,91,51021,2951,87,TP Surabaya SURABAYA,MOVING,1209
2,2025-08-01 17:03:00,-6.9647,107.641989,0,86.4,25073,1853,74,Bandung Indah Plaza BANDUNG,PARKED,1208
15,2025-08-01 17:48:00,-6.229852,106.821279,0,94.9,12058,802.7,77,Kuningan City JAKARTA,PARKED,1207
15,2025-08-01 18:04:00,-6.194172,106.826132,63,94.7,12065,803.2,73,Setiabudi JAKARTA,MOVING,1207
4,2025-08-01 19:10:00,-7.293624,112.733842,0,90.9,51021,2951.3,86,TP Surabaya SURABAYA,PARKED,1209
8,2025-08-01 20:41:00,-6.231538,106.823973,58,96.2,32024,1901.1,93,Kuningan City JAKARTA,MOVING,1210
14,2025-08-02 7:49:00,-7.257402,112.750202,77,90.6,29058,1603.6,69,Surabaya Plaza SURABAYA,MOVING,1206
8,2025-08-02 7:56:00,-6.193004,106.827432,40,95.9,32036,1901.5,91,Setiabudi JAKARTA,MOVING,1210
2,2025-08-02 8:47:00,-6.967062,107.637395,52,86.1,25082,1853.5,70,Bandung Indah Plaza BANDUNG,MOVING,1208
11,2025-08-02 10:03:00,-7.28456,112.739077,75,97.6,89012,4500.6,96,BG Junction SURABAYA,MOVING,1211
11,2025-08-02 10:21:00,-6.197389,106.821118,0,97.9,89000,4500.2,98,Setiabudi JAKARTA,PARKED,1211
15,2025-08-02 10:51:00,-6.192416,106.81934,0,94.6,12065,803.4,72,Grand Indonesia JAKARTA,PARKED,1207
8,2025-08-02 11:02:00,-6.22892,106.802647,80,95.5,32042,1901.9,88,Plaza Senayan JAKARTA,MOVING,1210
11,2025-08-02 11:09:00,-7.262086,112.752772,53,97.2,89020,4501.1,91,JL Tunjungan SURABAYA,MOVING,1211
14,2025-08-02 12:03:00,-7.2828,112.755302,0,90.4,29058,1603.7,67,JL Darmo SURABAYA,PARKED,1206
2,2025-08-02 13:32:00,-6.886346,107.605175,0,86,25082,1853.7,69,Cihampelas Walk BANDUNG,PARKED,1208
8,2025-08-02 13:50:00,-6.213551,106.840871,55,95.1,32051,1902.4,86,JL Sudirman JAKARTA,MOVING,1210
2,2025-08-02 14:10:00,-6.962539,107.638125,77,85.7,25093,1854.1,67,Bandung Indah Plaza BANDUNG,MOVING,1208
11,2025-08-02 15:44:00,-7.288294,112.749782,59,96.9,89028,4501.6,86,JL Darmo SURABAYA,MOVING,1211
4,2025-08-02 16:29:00,-7.293458,112.738416,77,90.5,51032,2951.6,82,Pakuwon Mall SURABAYA,MOVING,1209
15,2025-08-02 17:09:00,-6.22863,106.807173,0,94.5,12065,803.7,70,Pacific Place JAKARTA,PARKED,1207
4,2025-08-02 19:09:00,-7.292337,112.736396,59,90.2,51041,2951.8,78,TP Surabaya SURABAYA,MOVING,1209
4,2025-08-02 20:50:00,-7.258705,112.749297,0,90.1,51041,2952.1,77,JL Tunjungan SURABAYA,PARKED,1209
15,2025-08-03 7:11:00,-6.227717,106.811622,48,94.3,12071,804.1,65,Pacific Place JAKARTA,MOVING,1207
11,2025-08-03 7:12:00,-7.251577,112.756478,70,96.6,89036,4502,81,Pasar Atom SURABAYA,MOVING,1211
2,2025-08-03 7:23:00,-6.903607,107.590637,0,85.6,25093,1854.2,66,JL Pasteur BANDUNG,PARKED,1208
4,2025-08-03 7:26:00,-7.291901,112.734579,0,90,51041,2952.3,75,BG Junction SURABAYA,PARKED,1209
14,2025-08-03 8:29:00,-6.18958,106.827543,0,88.8,29000,1600.2,99,Plaza Indonesia JAKARTA,PARKED,1212
8,2025-08-03 11:03:00,-6.223725,106.801028,0,95,32051,1902.6,84,Plaza Senayan JAKARTA,PARKED,1210
11,2025-08-03 14:12:00,-7.290669,112.739074,0,96.5,89036,4502.2,79,TP Surabaya SURABAYA,PARKED,1211
14,2025-08-03 15:35:00,-6.22588,106.822043,0,88.7,29000,1600.4,97,Kuningan City JAKARTA,PARKED,1212
2,2025-08-03 16:02:00,-6.907397,107.614107,0,85.5,25093,1854.4,65,Gedung Sate BANDUNG,PARKED,1208
8,2025-08-03 17:26:00,-6.241653,106.803474,61,94.8,32058,1903.1,80,Kebayoran Baru JAKARTA,MOVING,1210
14,2025-08-03 17:45:00,-6.197381,106.826738,0,88.5,29000,1600.7,95,Plaza Indonesia JAKARTA,PARKED,1212
15,2025-08-03 17:45:00,-6.189026,106.823464,0,94.1,12071,804.3,63,Plaza Indonesia JAKARTA,PARKED,1207
11,2025-08-03 18:15:00,-7.289353,112.74989,0,96.3,89036,4502.4,78,JL Darmo SURABAYA,PARKED,1211
2,2025-08-03 19:50:00,-6.891309,107.605163,0,85.3,25093,1854.7,63,Cihampelas Walk BANDUNG,PARKED,1208
4,2025-08-03 19:51:00,-7.29192,112.732978,0,89.8,51041,2952.5,74,TP Surabaya SURABAYA,PARKED,1209
11,2025-08-03 20:10:00,-7.287965,112.735923,0,96.2,89036,4502.6,76,BG Junction SURABAYA,PARKED,1211
4,2025-08-03 20:54:00,-7.292805,112.729575,53,89.6,51047,2953,70,BG Junction SURABAYA,MOVING,1209
14,2025-08-04 7:45:00,-6.199932,106.820405,0,88.3,29000,1600.8,94,Grand Indonesia JAKARTA,PARKED,1212
15,2025-08-04 10:01:00,-6.189528,106.822467,0,84.9,12000,800.1,98,Plaza Indonesia JAKARTA,PARKED,1213
15,2025-08-04 10:12:00,-6.212543,106.847786,0,84.7,12000,800.2,97,JL Sudirman JAKARTA,PARKED,1213
4,2025-08-04 10:57:00,-7.258028,112.756667,0,89.5,51047,2953.3,68,Surabaya Plaza SURABAYA,PARKED,1209
4,2025-08-04 11:10:00,-7.29297,112.729759,58,89.2,51061,2953.7,65,BG Junction SURABAYA,MOVING,1209
11,2025-08-04 11:23:00,-7.255998,112.749927,0,96,89036,4502.7,75,Surabaya Plaza SURABAYA,PARKED,1211
11,2025-08-04 12:22:00,-7.267463,112.739934,0,95.9,89036,4503,73,Grand City SURABAYA,PARKED,1211
2,2025-08-04 13:05:00,-6.882277,107.57791,57,84.9,25107,1855.1,60,Paris Van Java BANDUNG,MOVING,1208
14,2025-08-04 13:17:00,-6.227669,106.796769,72,88,29008,1601.3,91,Plaza Senayan JAKARTA,MOVING,1212
15,2025-08-04 13:28:00,-6.209463,106.847807,0,84.6,12000,800.4,96,JL Sudirman JAKARTA,PARKED,1213
15,2025-08-04 15:31:00,-6.213649,106.842095,49,84.3,12015,800.7,91,JL Sudirman JAKARTA,MOVING,1213
11,2025-08-04 15:49:00,-7.260673,112.753159,0,95.7,89036,4503.1,72,JL Tunjungan SURABAYA,PARKED,1211
11,2025-08-04 17:02:00,-7.294019,112.733952,60,95.3,89046,4503.4,67,Pakuwon Mall SURABAYA,MOVING,1211
14,2025-08-04 19:09:00,-6.244677,106.796938,58,87.8,29018,1601.7,86,Kebayoran Baru JAKARTA,MOVING,1212
2,2025-08-04 20:28:00,-6.92149,107.60801,71,84.7,25112,1855.5,57,JL Asia Afrika BANDUNG,MOVING,1208
15,2025-08-05 7:25:00,-6.223097,106.821328,0,84.1,12015,800.9,90,Kuningan City JAKARTA,PARKED,1213
11,2025-08-05 7:49:00,-7.268632,112.738839,0,95.2,89046,4503.6,66,Grand City SURABAYA,PARKED,1211
11,2025-08-05 9:04:00,-7.286602,112.751217,80,94.9,89052,4504.1,62,JL Darmo SURABAYA,MOVING,1211
2,2025-08-05 9:39:00,-6.190577,106.823912,69,92.8,25005,1850.4,97,Plaza Indonesia JAKARTA,MOVING,1214
14,2025-08-05 10:41:00,-6.213111,106.850408,0,87.7,29018,1601.9,85,JL Sudirman JAKARTA,PARKED,1212
15,2025-08-05 12:17:00,-6.222711,106.80325,0,83.9,12015,801.1,88,Plaza Senayan JAKARTA,PARKED,1213
11,2025-08-05 14:21:00,-6.195737,106.82209,74,94.5,89060,4504.5,57,Setiabudi JAKARTA,MOVING,1211
14,2025-08-05 16:08:00,-6.212817,106.847357,0,87.5,29018,1602.1,83,JL Sudirman JAKARTA,PARKED,1212
4,2025-08-05 16:12:00,-7.283879,112.748258,0,89,51061,2953.9,63,JL Darmo SURABAYA,PARKED,1209
2,2025-08-05 17:49:00,-6.192036,106.821473,0,92.6,25005,1850.5,96,Setiabudi JAKARTA,PARKED,1214
4,2025-08-05 18:24:00,-7.291364,112.739712,41,88.8,51069,2954.2,61,Pakuwon Mall SURABAYA,MOVING,1209
11,2025-08-05 19:06:00,-6.19199,106.823443,0,94.3,89060,4504.8,55,Grand Indonesia JAKARTA,PARKED,1211
14,2025-08-06 8:52:00,-6.197598,106.823469,0,87.4,29018,1602.3,81,Setiabudi JAKARTA,PARKED,1212
4,2025-08-06 11:00:00,-6.204035,106.844455,0,89.9,51000,2950.2,98,JL Sudirman JAKARTA,PARKED,1215
11,2025-08-06 11:04:00,-6.222794,106.808758,0,94.2,89060,4505.1,53,Pacific Place JAKARTA,PARKED,1211
2,2025-08-06 11:04:00,-6.196774,106.819427,68,92,25025,1851.3,87,Setiabudi JAKARTA,MOVING,1214
2,2025-08-06 11:27:00,-6.229997,106.799059,50,92.3,25020,1851,92,Plaza Senayan JAKARTA,MOVING,1214
11,2025-08-06 12:09:00,-6.243064,106.800708,0,94.1,89060,4505.2,52,Kebayoran Baru JAKARTA,PARKED,1211
