maintenance_id,car_id,maintenance_type,maintenance_date,cost,description,next_maintenance_date,odometer_at_maintenance,maintenance_status,workshop_location
MNT1_500,1,Battery Check,2025-01-25,350000,"Battery health assessment, terminal cleaning",2025-04-26,28445,Completed,JAKARTA
MNT1_501,1,Battery Check,2025-04-26,350000,"Battery health assessment, terminal cleaning",2025-07-26,40069,Completed,JAKARTA
MNT1_502,1,Battery Service,2025-07-26,420000,Battery load test and charging system check,2025-10-25,67702,Completed,JAKARTA
MNT1_503,1,Battery Replacement,2025-10-25,2500000,Full battery replacement due to degradation,2025-12-12,51788,Scheduled,JAKARTA
MNT2_500,2,Routine Service_2,2025-01-04,750000,"Oil change, filter replacement, brake inspection",2025-05-26,90567,Completed,JAKARTA
MNT2_501,2,Transmission Service,2025-05-26,950000,"Transmission fluid change, system check",2025-10-15,63268,Completed,JAKARTA
MNT2_502,2,Electrical System,2025-10-15,680000,"Wiring harness inspection, sensor calibration",2025-12-10,94266,Scheduled,JAKARTA
MNT2_503,2,AC Service,2025-10-21,480000,AC system recharge and component check,2025-12-23,32854,Scheduled,JAKARTA
MNT3_500,3,AC Service,2025-01-13,480000,AC system recharge and component check,2025-04-13,60724,Completed,JAKARTA
MNT3_501,3,Transmission Check,2025-04-13,580000,Transmission diagnostic and software update,2025-07-12,38823,Completed,JAKARTA
MNT3_502,3,Major Service,2025-07-12,1800000,"High mileage service, transmission fluid",2025-10-10,79581,Completed,JAKARTA
MNT4_500,4,Routine Service_1,2025-01-19,700000,"Oil change, tire rotation, fluid check",2025-04-13,63743,Completed,JAKARTA
MNT4_501,4,Tire Replacement,2025-04-13,3200000,All-season tire replacement (4 units),2025-07-06,36176,Completed,JAKARTA
MNT4_502,4,Routine Service_3,2025-07-06,650000,"Oil change, filter replacement, inspection",2025-09-28,98276,Completed,JAKARTA
MNT4_503,4,Routine Service_3,2025-09-28,650000,"Oil change, filter replacement, inspection",2025-12-23,54202,Scheduled,JAKARTA
MNT5_500,5,Cooling System,2025-01-20,720000,"Coolant flush, radiator inspection",2025-06-12,28665,Completed,JAKARTA
